id,isbn13,name,author,publisher,book_edition,book_edition,book_language,book_binding,currency_code,price,weight,delivery_charge,quantity,discount,publishing_year,description,no_of_pages,image,cat_id
2393,9788171674046,PLAYS,"Anton Chekhov",NULL,10-Jan-99,10-Jan-99,English,Paperback,INR,150,190g,0.00,50,22.00,"Rupa Publications India","Chekhov first attained celebrity status as a playwright with The Seagull (1895), first produced in Petersburg, but subsequently brilliantly directed by Stanislavsky for the Moscow Art Theatre. Uncle Vanya (1900), Three Sisters (1901)andthe most famous of Chekhov's plays, The Cherry Orchard (1904), followed in quick succession. All four plays are included in this volume. A seemingly effortless blend of natural symbolism, these plays demonstrate Chekhov's perennial appeal anda re still produced the world over.",292,9788171674046.jpg,0
2394,9788129100245,"POEMS FROM PURAVI THE CHILD (HB)","Rabindranath Tagore",NULL,10-Jan-03,10-Jan-03,English,Paperback,INR,95,40.8g,30.00,50,1.00,"Rupa Publications India","Poems from Puravi the Child is a collection of seven poems, translated by Kshitis Roy, the former curator of the Tagore Museum in Shantiniketan and the long-time editor of the Visva-Bharati Quarterly. The sources for these poems are Puranata, 'Fulfilment', Videshi Phul, 'Foreign Flower', Antarhita, 'The Phantom', Asamka, 'Faint Heart', Shesh Vasanta, 'The Last Spring' and Badal, 'The Exchange'. 'The Postscript' has been taken from Shesh Lekha, 'The Last Writing' (1941)",48,9788129100245.jpg,0
2395,9788129148391,"POLITIC SHOCK","Meghnad Desai",NULL,6-Aug-17,6-Aug-17,English,Paperback,INR,595,472g,50.00,50,22.00,"Rupa Publications India","Recent events around the world have shaken old certainties. Questions are being asked about the survival of the Liberal Order, which has been dominant for over fifty years. The election of Donald Trump and the Brexit vote have alarmed many commentators. Across Europe too there have been developments?the emergence of fringe parties of the left and right in France, Germany, Spain, Italy and Greece?which have disturbed the liberal thought. In India, the arrival of Narendra Modi at the head of the ?Hindu nationalist? Bharatiya Janata Party (BJP) in 2014 had raised fear similar to those in Trump?s case.",216,9788129148391.jpg,0
2396,9781526602053,"POLITICAL TRIBES","Amy Chua ",NULL,18-Mar-18,18-Mar-18,English,Paperback,INR,499,295g,0.00,50,22.00,BLOOMS,"'A beautifully written, eminently readable and uniquely important challenge to conventional wisdom' J. D. Vance, author of�Hillbilly Elegy",304,9781526602053.jpg,0
2397,9788129151612,"POLITICS FOR A NEW INDIA","Shriprakash Singh",NULL,20-Jun-18,20-Jun-18,English,Hardcover,INR,395,260g,0.00,50,21.00,"Rupa Publications India","This book may be treated, but with precaution, as indigenization of political science in India.",328,9788129151612.jpg,0
2398,9789353334185,"POLITICS OF JUGAAD (HB)","Saba Naqvi",NULL,20-Mar-19,20-Mar-19,English,Hardcover,INR,395,327g,50.00,50,21.00,"Rupa Publications India","Politics of Jugaad examines the history of coalition governments to project the possibilities of one, as the countdown to the 2019 Lok Sabha election begins. It asks whether coalitions are an inevitability we have to live with, especially since coalitions have been unstable, and whether they also hold out the promise of greater democratization in a nation as diverse as ours. It analyses the possibilities of the formation of coalitions in various states and their chances of success and failure, leading up to the question: Can a few regional parties potentially tip the scales and defeat the Modi-led BJP? In this most authoritative volume, Saba Naqvi strikes the perfect balance between precise argument and fresh prose, minutely discussing what could be the direction, politics and policy of India?s next coalition government. It is essential reading for anyone interested in the nature of transformation in Indian political parties and their role in contemporary times.",148,9789353334185.jpg,0
2399,9788129132734,"POLITICS TRUMPS ECONOMICS","Balakrishnan Pulapre",NULL,1-Jul-14,1-Jul-14,English,Hardcover,INR,500,395g,50.00,50,21.00,"Rupa Publications India","In India a globally impressive talent pool co-exists with the highest incidence of poverty in theworld. The engaged citizen is aware of this situation, wants to know how it has come to be andwhat can be done to improve it. That the country's full potential is not being realized to make fora dynamic economy and acceptable living conditions for her people points to something beyondeconomics being at play. And this is the ever-present politics.",221,9788129132734.jpg,0
2400,9788129141934,POLY-TRAP,"Nita Ganguly ",NULL,17-Oct-16,17-Oct-16,English,Paperback,INR,195,470g,50.00,50,15.00,"Rupa Publications India","The world?s seas and oceans are home to numerous life forms. These life forms swim, float, jump or crawl in the world oceans freely. Humans however continue to put the lives of the sea creatures at risk in one way or the other. Join Wiley and his Mummy as they tell you about one of the man-made hazards that leaves the sea creatures gasping for breath and a possible way to let the creatures live freely.",38,9788129141934.jpg,0
2401,9788171674930,"PORTRAIT OF A MARTYR","Balraj Madhok ",NULL,1-Feb-03,1-Feb-03,English,Paperback,INR,195,322g,48.00,50,21.00,"Rupa Publications India","This edition of Dr. Shyama Prasad Mookerjee's biography was published in 2001 to mark his 100th birth anniversary. Dr Mookerjee was one of the remarkable figures who played a crucial role in Indian politics during the decades before and after independence. This book explores the life and career of a versatile genius who excelled in every field of activity he entered ? as vice-chancellor of Calcutta University (1934-38), as the acting president of the Hindu Mahasabha (1940), as a parliamentarian and the first president of the Jana Sangh (1951-53) and as a crusader for the cause of Indian unity for which he laid down his life, under mysterious circumstances, in prison, on 23 June 1953.",312,9788171674930.jpg,0
3398,9789390327805,"This Life at Play Memoirs","Girish Karnad and Srinath Perur","Fourth Estate",,,NULL,NULL,NULL,799,undefined,0.00,50,22.00,,,0,9789390327805.jpg,0
9067,9780194129572,"ENG RESULT U-INT SB WITH DVD PACK","MARK HANCOCK & ANNIE MCDONALD","Oxford University Press",NULL,NULL,Spanish,"Mix MediaCD/DVD",INR,495,450g,NULL,50,5.00,"2013-12-13 05:30:00.000",NULL,1,9780194129572.jpg,0
9068,9780198421115,"ORT TT GS LEV 16/17 PACK OF 6 NEW ED",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,2250,814g,NULL,50,5.00,"2018-09-13 05:30:00.000",NULL,1,9780198421115.jpg,0
9069,9780198497417,"Word Sparks - Levels 1+-1 Singles Pack",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,27000,"7kg 750g",NULL,50,5.00,"2020-10-19 05:30:00.000",NULL,1,9780198497417.jpg,0
9070,9780194514088,"PET MASTERCLASS  ST BK & INTRO TO PET","CAPEL, ANNETTE","Oxford University Press",NULL,NULL,English,"Mix MediaCD/DVD",INR,395,470g,NULL,50,5.00,"2013-02-04 05:30:00.000",NULL,2,9780194514088.jpg,0
9071,9780194756235,"Q SKILLS SUCC READ & WRITING  2 SB WITH","JOE MCVEIGH, JENNIFER BIXBY","Oxford University Press",NULL,NULL,English,Paperback,INR,395,490g,NULL,50,5.00,"2013-01-03 05:30:00.000","The causes and consequences of terrorism are matters of considerable debate and great interest. Spectacular events are recognized by their dates, including the 9/11 attacks in New York and Washington and the 7/7 London bombings",2,9780194756235.jpg,0
9072,9780194756112,"Q SKILLS SUCC LIS & SPK 2 SB WITH OP","MARGARET BROOKS","Oxford University Press",NULL,NULL,English,"Mix Med Online",INR,395,485g,0.00,50,10.00,"2013-01-03 05:30:00.000",NULL,5,9780194756112.jpg,0
9073,9780198364221,"ORT:LEV 1 MORE B DEC & DEV PACK OF 6","HUNT/SHIPTON ET AL","OUP Oxford",NULL,NULL,English,Paperback,INR,1200,192g,NULL,50,5.00,"2016-01-07 05:30:00.000",NULL,8,9780198364221.jpg,0
9074,9780198364306,"ORT:LEV 1+ MORE B DEC & DEV PACK OF 6","HUNT/SHIPTON ET AL","OUP Oxford",NULL,NULL,English,Paperback,INR,1200,196g,NULL,50,5.00,"2016-01-07 05:30:00.000",NULL,8,9780198364306.jpg,0
9077,9780198480341,"ORT:STG 1 WORDLESS STR B PK OF 6 NEW",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,900,198g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480341.jpg,0
9078,9780198480365,"ORT:Lvl 1. Wordless Stories B:The Apple","Hunt, Roderick","OUP Oxford",NULL,NULL,English,Paperback,INR,185,32g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480365.jpg,0
9079,9780198480525,"ORT:STG 1 MORE 1ST WORD A PK OF 6 NEW",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,930,190g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480525.jpg,0
9080,9780198480617,"ORT:STG 1+ 1ST SENT PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,170g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480617.jpg,0
9081,9780198480709,"ORT:STG 1+ MORE 1ST SENT A PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,160g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480709.jpg,0
9082,9780198480884,"ORT:STG 1+ MORE 1ST SENT C PK OF 6 NEW",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,960,180g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480884.jpg,0
9083,9780198480976,"ORT:STG 1+ PATTERNED PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,970,188g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198480976.jpg,0
9084,9780198481065,"ORT:STG 1+ MORE PATTERNED PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,192g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198481065.jpg,0
9085,9780198483670,"ORT:STG 1 DEC & DEV PACK OF 6",OXFORD,"OUP Oxford",NULL,NULL,English,Paperback,INR,880,260g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198483670.jpg,0
9086,9780198483762,"ORT:STG 1+ DEC & DEV PACK OF 6",ORT,"OUP Oxford",NULL,NULL,English,Paperback,INR,1200,10g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198483762.jpg,0
9087,9780198483779,"ORT:STG 1+ DEC & DEV CLASS PK OF 36",ORT,"OUP Oxford",NULL,NULL,English,Paperback,INR,6600,10g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198483779.jpg,0
9088,9780198484974,"ORT:FLOP PHON ST1+A  PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,370g,0.00,50,22.00,"2011-01-06 05:30:00.000",NULL,8,9780198484974.jpg,0
9089,9780198485476,"ORT:FP SOUND LETT STG 1 PK OF 6 PB",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,1070,270g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,8,9780198485476.jpg,0
9090,9780198488835,"FP SOUND LET STG 1 MOR A CLS PK 36",ORT,"OUP Oxford",NULL,NULL,English,Paperback,INR,6000,"1kg 620g",NULL,50,5.00,"2012-01-30 05:30:00.000",NULL,8,9780198488835.jpg,0
9091,9780198488910,"ORT:STG 1 MORE A DEC & DEV PACK OF 6",OXFORD,"OUP Oxford",NULL,NULL,English,Paperback,INR,1200,188g,NULL,50,5.00,"2012-04-26 05:30:00.000",NULL,8,9780198488910.jpg,0
9092,9780198488996,"ORT:STG 1+ MORE A DEC & DEV PACK OF 6",OXFORD,"OUP Oxford",NULL,NULL,English,Paperback,INR,1200,190g,NULL,50,5.00,"2012-04-26 05:30:00.000",NULL,8,9780198488996.jpg,0
9093,9780198489009,"ORT:LEV 1+ MORE A DEC & DEV CLS PK OF 36",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,6600,"1kg 140g",NULL,50,5.00,"2012-04-26 05:30:00.000",NULL,8,9780198489009.jpg,0
9095,9780198339106,"ORT:TRAD ST1+ CLASS PK 24",OXFORD,"OUP Oxford",NULL,NULL,English,Paperback,INR,6000,"1kg 180g",NULL,50,5.00,"2011-09-08 05:30:00.000",NULL,12,9780198339106.jpg,0
9096,9780198396437,"ORT:EWBCK:L1 MIXED PK OF 6","Hunt, Roderick;  Alex",NULL,NULL,NULL,English,Paperback,INR,1175,450g,NULL,50,5.00,"2018-01-15 05:30:00.000",NULL,12,9780198396437.jpg,0
9097,9780198396512,"ORT:EWBCK:L1+ MIXED PK OF 6","Hunt, Roderick;  Alex","Oxford University Press",NULL,NULL,English,Paperback,INR,1235,292g,0.00,50,22.00,"2018-01-15 05:30:00.000",NULL,12,9780198396512.jpg,0
9099,9780198480792,"ORT:STG 1+ MORE 1ST SENT B PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,930,232g,NULL,50,10.00,"2011-01-06 05:30:00.000",NULL,12,9780198480792.jpg,0
9100,9780198484301,"ORT:FLOP PHON NF ST1+ PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,Spanish,Paperback,INR,990,292g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198484301.jpg,0
9101,9780198485551,"ORT:FP SOUND LETT STG 1+ PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,295g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485551.jpg,0
9102,9780198485636,"ORT:FP SOUND LETT STG 2 PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,324g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485636.jpg,0
9103,9780198485711,"ORT:FP SOUND LETT STG 3 PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,1075,285g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485711.jpg,0
9104,9780198485797,"ORT:FP SOUND LETT STG 4 PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,1115,339g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485797.jpg,0
9106,9780198485872,"ORT:FP SOUND LETT STG 5 PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,324g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485872.jpg,0
9107,9780198485957,"ORT:FP SOUND LETT STG 5A PK OF 6",.,"Oxford University Press",NULL,NULL,English,Paperback,INR,1445,286g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,12,9780198485957.jpg,0
9109,9780198364382,"ORT:LEV 2 MORE B DEC & DEV PACK OF 6","HUNT/SHIPTON ET AL","OUP Oxford",,,English,Paperback,INR,1300,258g,0.00,50,24.00,"2016-01-07 ",,16,9780198364382.jpg,0
9113,9780198390459,"ORT:STG 4 MORE A DEC & DEV PACK OF 6",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,1270,274g,NULL,50,5.00,"2013-04-18 05:30:00.000",NULL,16,9780198390459.jpg,0
9114,9780198438137,"ORT:CHINA STORIES DEC & DEV L3 PACK OF 6",HUNT/BRYCHTA,"Oxford University Press",NULL,NULL,English,Paperback,INR,1200,260g,NULL,50,5.00,"2020-02-27 05:30:00.000",NULL,16,9780198438137.jpg,0
9115,9780198438205,"ORT:CHINA STORIES DEC & DEV L4 PACK OF 6",HUNT/BRYCHTA,"Oxford University Press",NULL,NULL,English,Paperback,INR,1350,260g,NULL,50,5.00,"2020-02-27 05:30:00.000",NULL,16,9780198438205.jpg,0
9118,9780198481157,"ORT:STG 2 STORIES PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1050,345g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481157.jpg,0
9119,9780198481331,"ORT:STG 2 MORE STR A PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1050,271g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481331.jpg,0
9120,9780198481515,"ORT:STG 2 PATT STR PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,258g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481515.jpg,0
9121,9780198481607,"ORT:STG 2 MORE PATT PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1020,345g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481607.jpg,0
9122,9780198481690,"ORT:STG 3 STORIES PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,990,345g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481690.jpg,0
9123,9780198481782,"ORT:STG 3 1ST SENT PK OF 6 NEW",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,1120,340g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481782.jpg,0
9124,9780198481874,"ORT:STG 3 MORE STR A PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1050,258g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481874.jpg,0
9125,9780198481966,"ORT:STG 3 MORE STR B PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1030,275g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198481966.jpg,0
9126,9780198482147,"ORT:STG 4 MORE STR A PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,385g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198482147.jpg,0
9127,9780198482239,"ORT:STG 4 MORE STR B PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,310g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198482239.jpg,0
9128,9780198482321,"ORT:STG 4 MORE STR C PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,313g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198482321.jpg,0
9129,9780198484035,"ORT:STG 4 DEC & DEV PACK OF 6",ORT,"OUP Oxford",NULL,NULL,English,Paperback,INR,990,345g,0.00,50,5.00,"2011-04-24 05:30:00.000",NULL,16,9780198484035.jpg,0
9130,9780198484394,"ORT:FLOP PHON NF ST2 PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1100,378g,0.00,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198484394.jpg,0
9131,9780198484578,"ORT:FLOP PHON NF ST4 PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,440g,0.00,50,22.00,"2011-01-06 05:30:00.000",NULL,16,9780198484578.jpg,0
9132,9780198484752,"ORT:FLOP PHON NF ST5A PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1475,422g,0.00,50,22.00,"2011-01-06 05:30:00.000",NULL,16,9780198484752.jpg,0
9133,9780198485063,"ORT:FLOP PHON ST2A PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1100,348g,0.00,50,22.00,"2011-01-06 05:30:00.000",NULL,16,9780198485063.jpg,0
9134,9780198485155,"ORT:FLOP PHON ST3A PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,330g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198485155.jpg,0
9135,9780198485247,"ORT:FLOP PHON ST4A PACK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1150,490g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,16,9780198485247.jpg,0
9136,9780198489078,"ORT:STG 2 MORE A DEC & DEV PACK OF 6",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,1300,249g,NULL,50,5.00,"2012-09-06 05:30:00.000",NULL,16,9780198489078.jpg,0
9137,9780198489160,"ORT:STG 3 MORE A DEC & DEV PACK OF 6",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,1300,278g,NULL,50,5.00,"2012-09-06 05:30:00.000",NULL,16,9780198489160.jpg,0
9139,9780199162383,"ORT STG 1 WORKBOOKS CLASS PACK PB",ACKLAND,"OUP Oxford",NULL,NULL,English,Book,INR,3150,"1kg 530g",NULL,50,5.00,"1989-03-02 05:30:00.000",NULL,16,9780199162383.jpg,0
9140,9780199162482,"ORT:LEV 6 WORKBOOK 2 PACK OF 30",HUNT,"OUP Oxford",,,English,undefined,INR,9795,"1kg 520g",0.00,50,15.00,"1989-03-02 05:30:00.000",,16,9780199162482.jpg,0
9141,9780199167722,"ORT:STG 8 WORKBOOK 1 PACK OF 30",OXFORD,"OUP Oxford",NULL,NULL,English,Book,INR,3150,"1kg 480g",NULL,50,5.00,"1997-01-01 05:30:00.000",NULL,16,9780199167722.jpg,0
9142,9780198396598,"ORT:EWBCK:L2 MIXED PK OF 6","Hunt, Roderick;  Alex","Oxford University Press",NULL,NULL,English,Paperback,INR,1425,385g,0.00,50,22.00,"2018-01-15 05:30:00.000",NULL,20,9780198396598.jpg,0
9143,9780198396673,"ORT:EWBCK:L3 MIXED PK OF 6","Hunt, Roderick;  Alex","Oxford University Press",NULL,NULL,English,Paperback,INR,1050,395g,NULL,50,5.00,"2018-01-15 05:30:00.000",NULL,20,9780198396673.jpg,0
9144,9780198355793,"OXF INT PRI ENG EARLY YRS GLITTER JOURN","GALLAGHER, EITHNE","OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,245,122g,NULL,50,5.00,"2015-09-28 05:30:00.000","The second of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355793.jpg,0
9145,9780198355809,"OXF INT PRI ENG EARLY YRS GLOT PANDA","GALLAGHER, EITHNE","Oxford University Press",NULL,NULL,English,"Mix MediaCD/DVD",INR,245,120g,NULL,50,5.00,"2015-09-28 05:30:00.000","The third of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355809.jpg,0
9146,9780198355816,"OXF INT PRI ENG EARLY YRS FLITTERS FIRST","GALLAGHER, EITHNE","OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,245,120g,NULL,50,5.00,"2015-09-28 05:30:00.000","The fourth of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355816.jpg,0
9147,9780198355823,"OXF INT PRI ENG EARLY YRS LING A LING","GALLAGHER, EITHNE","OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,270,122g,40.00,50,5.00,"2015-10-23 05:30:00.000","The fifth of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355823.jpg,0
9148,9780198355830,"OXF INT PRI ENG EARLY YRS GLIT MISSING","GALLAGHER, EITHNE","OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,270,122g,50.00,50,5.00,"2015-10-23 05:30:00.000","The sixth of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355830.jpg,0
9149,9780198355847,"OXF INT PRI ENG EARLY YRS SNOW SAFARI","GALLAGHER, EITHNE","OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,270,100g,NULL,50,5.00,"2015-09-28 05:30:00.000","The seventh of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories",24,9780198355847.jpg,0
9150,9780198355854,"OXF INT PRI ENG EARLY YRS GLITTER BRAZIL",GALLAGHER,"OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,270,122g,40.00,50,5.00,"2015-10-22 05:30:00.000","The eighth of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355854.jpg,0
9151,9780198355861,"OXF INT PRI ENG EARLY YRS GOODBYE GIFT",GALLAGHER,"OUP Oxford",NULL,NULL,English,"Mix MediaCD/DVD",INR,270,122g,NULL,50,5.00,"2015-10-29 05:30:00.000","The ninth of nine exciting stories, The Glitterlings' Journey tells of Glot, Flitter and Ling a Ling who travel to earth to meet Messy Tessy. Story Time audio CD included with space on each page to write words from other languages. Children, parents and teachers will love these beautifully illustrated stories.",24,9780198355861.jpg,0
9152,9780198357858,"COMPLETE ICT FOR CAMB IGCSE TKN ONL BK",DOYLE,NULL,NULL,NULL,NULL,"Digital Lic Key",INR,1650,NULL,NULL,50,5.00,"2015-12-17 05:30:00.000",NULL,24,9780198357858.jpg,0
9153,9780198390534,"ORT:STG 5 MORE A DEC & DEV PACK OF 6",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,1220,357g,NULL,50,5.00,"2013-04-18 05:30:00.000",NULL,24,9780198390534.jpg,0
9154,9780198396758,"ORT:EWBCK:L4 MIXED PK OF 6","Hunt, Roderick;  Alex","Oxford University Press",NULL,NULL,English,Paperback,INR,1560,435g,0.00,50,5.00,"2018-01-15 05:30:00.000",NULL,24,9780198396758.jpg,0
9155,9780198396833,"ORT:EWBCK:L5 MIXED PK OF 6","Hunt, Roderick; Alex;","Oxford University Press",NULL,NULL,English,Paperback,INR,1545,435g,NULL,50,5.00,"2018-01-15 05:30:00.000",NULL,24,9780198396833.jpg,0
9156,9780198396918,"ORT:EWBCK:L6 MIXED PK OF 6","Hunt, Roderick; Alex;","Oxford University Press",NULL,NULL,English,Paperback,INR,1500,435g,0.00,50,22.00,"2018-01-15 05:30:00.000",NULL,24,9780198396918.jpg,0
9157,9780198418498,"ORT:TT GREAT L8 LAMBTON WORM PK 6","Willis, Jeanne; Kleinhouse, Pierre","Oxford University Press",NULL,NULL,English,Paperback,INR,1500,322g,NULL,50,5.00,"2017-06-08 05:30:00.000",NULL,24,9780198418498.jpg,0
9158,9780198418504,"ORT:TT GREAT L8 ICARUS PK 6","Gates, Susan; Todd-Stanton, Joe; Ovid","Oxford University Press",NULL,NULL,English,Paperback,INR,1550,322g,NULL,50,5.00,"2017-06-08 05:30:00.000",NULL,24,9780198418504.jpg,0
9166,9780198482420,"ORT:STG 5 STORIES CLS PK OF 36 NEW",ORT,"OUP Oxford",NULL,NULL,English,Paperback,INR,9000,"2kg 30g",NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482420.jpg,0
9167,9780198482468,"ORT:LEV 5 STORIES GRAN NEW",.,"OUP Oxford",NULL,NULL,English,Paperback,INR,220,40g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482468.jpg,0
9168,9780198482598,"ORT:STG 5 MORE STR B PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1090,340g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482598.jpg,0
9169,9780198482680,"ORT:STG 5 MORE STR C PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1180,357g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482680.jpg,0
9170,9780198482772,"ORT:STG 6 STORIES PK OF 6 NEW",OXFORD,"Oxford University Press",NULL,NULL,English,Paperback,INR,1280,382g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482772.jpg,0
9171,9780198482789,"ORT:STG 6 STORIES CLS PK OF 36 NEW",ORT,"Oxford University Press",NULL,NULL,English,Paperback,INR,10000,388g,NULL,50,5.00,"2011-01-06 05:30:00.000",NULL,24,9780198482789.jpg,0
